2022-09-11 19:36:37,727 json         ERROR    namespace(model='BUGATTI', price=1500, mileage=500, engine=namespace(type='GASOLINE', power=1000.0), car_body=namespace(color='BLUE', type='SEDAN', components=['ABS', 'AIR CONDITIONING', 'SPOILER', 'LED LIGHTS', 'BACKUP CAMERA']), wheel=namespace(type='SUMMER', model='GOODYEAR', size=22)) is not of type 'object'. Wrong json file format
2022-09-11 19:36:37,731 json         ERROR    namespace(model='FIAT', price=25, mileage=125000, engine=namespace(type='GASOLINE', power=35.0), car_body=namespace(color='BLUE', type='HATCHBACK', components=['HEATED REAR WINDOW']), wheel=namespace(type='WINTER', model='DEBICA', size=14)) is not of type 'object'. Wrong json file format
2022-09-11 19:36:37,735 json         ERROR    namespace(model='SKODA', price=115, mileage=500000, engine=namespace(type='DIESEL', power=110.0), car_body=namespace(color='GREEN', type='COMBI', components=['ABS', 'AIR CONDITIONING', 'BACKUP CAMERA']), wheel=namespace(type='SUMMER', model='UNIROYAL', size=18)) is not of type 'object'. Wrong json file format
2022-09-11 19:54:46,479 json         ERROR    'DIESeL' is not one of ['DIESEL', 'GASOLINE', 'LPG']. Wrong json file format
2022-09-11 20:01:46,026 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=210.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=185.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=255.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=205.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='LPG', power=95.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=1000.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=35.0)
2022-09-11 20:01:46,027 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=110.0)
2022-09-11 20:04:55,273 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=210.0)
2022-09-11 20:04:55,273 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=185.0)
2022-09-11 20:04:55,273 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=255.0)
2022-09-11 20:04:55,273 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=205.0)
2022-09-11 20:04:55,274 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='LPG', power=95.0)
2022-09-11 20:04:55,274 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=1000.0)
2022-09-11 20:04:55,274 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=35.0)
2022-09-11 20:04:55,274 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=110.0)
2022-09-11 20:05:50,479 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=210.0)
2022-09-11 20:05:50,479 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=185.0)
2022-09-11 20:05:50,479 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=255.0)
2022-09-11 20:05:50,479 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=205.0)
2022-09-11 20:05:50,480 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='LPG', power=95.0)
2022-09-11 20:05:50,480 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=1000.0)
2022-09-11 20:05:50,480 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='GASOLINE', power=35.0)
2022-09-11 20:05:50,480 validator    ERROR    Car engine type must be ingredients class Engine [type: , power: ]: Engine(type='DIESEL', power=110.0)
